clusterNum	maxK	pItem	pFeature	clusterAlg	distance	avg_silhouette_width
2	6	0.9	1	pam	pearson	0.988003853
2	7	0.9	1	hc	maximum	0.985246117
2	5	0.9	1	hc	maximum	0.983912424
2	6	0.8	1	hc	maximum	0.976780987
2	6	0.9	0.9	hc	maximum	0.975142225
2	7	0.8	1	pam	pearson	0.974149303
2	5	0.8	1	pam	pearson	0.972804767
2	5	0.8	0.9	hc	maximum	0.970175258
2	7	0.7	1	hc	maximum	0.969441287
2	5	0.7	1	hc	maximum	0.968870255
2	7	0.8	0.9	hc	maximum	0.968646424
2	5	0.9	0.8	hc	maximum	0.967685731
2	7	0.9	0.8	hc	maximum	0.967623999
2	6	0.7	0.9	hc	maximum	0.962117074
2	6	0.9	0.7	hc	maximum	0.959709409
2	6	0.8	0.8	hc	maximum	0.959124379
2	6	0.6	1	hc	maximum	0.957915231
2	5	0.8	0.7	hc	maximum	0.957125403
2	7	0.7	0.8	hc	maximum	0.956332471
2	7	0.8	0.7	hc	maximum	0.95607192
2	7	0.9	0.6	hc	maximum	0.955760059
2	6	0.7	1	pam	pearson	0.955427199
2	5	0.7	0.8	hc	maximum	0.955180067
2	5	0.9	0.6	hc	maximum	0.954600249
2	5	0.6	0.9	hc	maximum	0.95304468
2	6	0.7	0.7	hc	maximum	0.951875616
2	6	0.8	0.6	hc	maximum	0.951748928
2	7	0.6	0.9	hc	maximum	0.951012678
2	5	0.7	0.6	hc	maximum	0.948954381
2	5	0.5	1	hc	maximum	0.946640119
2	6	0.6	0.8	hc	maximum	0.945981033
2	7	0.8	0.5	hc	maximum	0.945592689
2	7	0.6	0.7	hc	maximum	0.944005203
2	6	0.9	0.5	hc	maximum	0.943817632
2	7	0.5	1	hc	maximum	0.943345085
2	7	0.7	0.6	hc	maximum	0.942186743
2	5	0.6	0.7	hc	maximum	0.941968408
2	7	0.6	1	pam	pearson	0.941410431
2	5	0.8	0.5	hc	maximum	0.940822774
2	6	0.5	0.9	hc	maximum	0.940669437
2	7	0.5	0.8	hc	maximum	0.937878907
2	5	0.6	1	pam	pearson	0.936359116
2	6	0.7	0.5	hc	maximum	0.935740956
2	5	0.9	0.9	pam	pearson	0.935300867
2	5	0.5	0.8	hc	maximum	0.934560773
2	7	0.9	0.9	pam	pearson	0.934498166
2	7	0.6	0.5	hc	maximum	0.933562836
2	5	0.5	0.6	hc	maximum	0.932707515
2	5	0.6	0.5	hc	maximum	0.931850484
2	6	0.6	0.6	hc	maximum	0.928395409
2	6	0.5	0.7	hc	maximum	0.925853076
2	6	0.8	0.9	pam	pearson	0.925381281
2	6	0.5	1	pam	pearson	0.924506763
